Financial_ID,Location_ID,Location_Name,Date,Year,Month,Period,Total_Revenue,Revenue_Diagnostic,Revenue_Preventive,Revenue_Restorative,Revenue_Endodontic,Revenue_Periodontic,Revenue_Prosthodontic,Revenue_Oral_Surgery,Revenue_Orthodontic,Revenue_Implant,Revenue_Adjunctive,Total_Expenses,Labor_Clinical,Labor_Administrative,Supplies_Clinical,Supplies_Office,Rent_Lease,Utilities,Equipment_Costs,Marketing,Insurance,Professional_Fees,Continuing_Education,Lab_Fees,Software_IT,Travel,Miscellaneous,EBITDA,EBITDA_Margin,Labor_Cost_Percentage,Supply_Cost_Percentage,Total_AR,AR_Current,AR_31_60,AR_61_90,AR_91_Plus,DSO,Total_Claims_Submitted,Claims_Outstanding,Claims_Denied,Avg_Days_To_Payment,Collections_Expected,Collections_Actual,Collection_Rate,Total_Procedures,Completed_Procedures,Cancelled_Procedures,Total_Patient_Visits,New_Patients,Returning_Patients,Patient_Retention_Rate,Revenue_Per_Patient,Chair_Capacity,Total_Chair_Hours,Used_Chair_Hours,Chair_Utilization,Payor_Delta_Dental,Payor_Cigna_Dental,Payor_Aetna,Payor_MetLife,Payor_Guardian,Payor_United_Healthcare,Payor_Self_Pay,Treatment_Plans_Presented,Treatment_Plans_Accepted,Treatment_Plans_Completed,Case_Acceptance_Rate,Treatment_Completion_Rate,Revenue_Per_Square_Foot,Marketing_ROI,Operating_Cash_Flow,Revenue_MoM_Change,Revenue_YoY_Change,EBITDA_MoM_Change,EBITDA_YoY_Change
"FIN-LOC001-202001","LOC001","Downtown Dental","2020-01-01",2020,1,"2020-01",8426,2809,0,2247,2247,0,562,0,0,0,562,167352,113162,37721,590,169,12928,169,253,590,253,253,84,758,169,84,169,-158926,"-18.8614","17.9068","0.0901",10954,6572,2739,1095,657,"39.0",45,14,1,37,7583,6842,"0.8120",22,15,7,12,0,12,"0.7800","702.17",5,880,537,"0.6104",0,1123,2247,0,2809,0,2247,6,4,3,"0.6667","0.7500","2.63","2.14",-160510,0,0,0,0
"FIN-LOC001-202002","LOC001","Downtown Dental","2020-02-01",2020,2,"2020-02",3162,1302,1116,558,0,0,0,0,0,186,0,154515,105505,35168,221,63,12544,95,95,190,95,63,32,285,32,32,95,-151353,"-47.8662","44.4886","0.0898",4743,2751,996,522,332,"45.0",17,6,1,30,2846,2391,"0.7563",18,17,1,13,0,13,"0.8900","243.23",5,880,545,"0.6192",372,930,930,0,558,0,372,6,5,4,"0.8333","0.8000","0.99","2.50",-152124,"-0.6247",0,"-0.0477",0
"FIN-LOC001-202003","LOC001","Downtown Dental","2020-03-01",2020,3,"2020-03",28607,5108,3065,6130,4087,0,2043,0,1022,5108,2043,181658,117729,39243,2289,572,12672,858,1430,1144,572,1144,286,2575,572,286,286,-153051,"-5.3501","5.4872","0.1000",41003,25832,10251,4920,2050,"43.0",153,52,8,25,25746,21180,"0.7404",32,28,4,26,0,26,"0.8200","1100.27",5,880,481,"0.5465",3065,1022,11238,2043,2043,0,9195,11,7,5,"0.6364","0.7143","8.94","3.75",-160478,"8.0471",0,"0.0112",0
"FIN-LOC001-202004","LOC001","Downtown Dental","2020-04-01",2020,4,"2020-04",19750,8641,2469,2469,617,1852,1234,0,1234,617,617,177215,117925,39308,1185,395,12672,198,790,1185,395,395,198,1383,395,198,593,-157465,"-7.9729","7.9612","0.0800",28308,17268,6511,3114,1415,"43.0",105,38,3,25,17775,13308,"0.6738",40,32,8,29,0,29,"0.7900","681.03",5,880,324,"0.3685",2469,3086,1852,3086,2469,0,6789,14,9,8,"0.6429","0.8889","6.17","2.50",-163907,"-0.3096",0,"0.0288",0
"FIN-LOC001-202005","LOC001","Downtown Dental","2020-05-01",2020,5,"2020-05",9817,2182,0,3272,1091,1091,0,0,1091,1091,0,164079,110588,36863,687,196,12800,98,393,589,196,295,98,785,98,98,295,-154262,"-15.7138","15.0200","0.0899",10471,6283,2513,1047,1047,"32.0",52,20,1,27,8835,7810,"0.7956",13,9,4,8,0,8,"0.8900","1227.13",5,880,546,"0.6200",2182,2182,0,1091,1091,0,3272,3,2,2,"0.6667","1.0000","3.07","2.50",-156269,"-0.5029",0,"-0.0203",0
"FIN-LOC001-202006","LOC001","Downtown Dental","2020-06-01",2020,6,"2020-06",12994,4331,1083,4331,541,541,0,0,0,2166,0,174533,117596,39199,780,260,12928,260,520,390,260,520,130,1040,390,130,130,-161539,"-12.4318","12.0667","0.0800",16026,8975,3686,1442,1442,"37.0",69,23,2,31,11695,10045,"0.7731",25,24,1,18,0,18,"0.8100","721.89",5,880,521,"0.5923",3790,1624,2166,1083,1083,0,3249,7,6,5,"0.8571","0.8333","4.06","5.00",-164488,"0.3236",0,"0.0472",0
"FIN-LOC001-202007","LOC001","Downtown Dental","2020-07-01",2020,7,"2020-07",28824,9224,3459,3459,3459,0,3459,0,3459,1153,1153,184679,120455,40152,2306,576,12544,288,1441,1153,865,1153,288,2306,288,288,576,-155855,"-5.4071","5.5720","0.1000",32667,19927,7840,3267,1633,"34.0",154,54,6,32,25942,20454,"0.7096",27,25,2,22,0,22,"0.8600","1310.18",5,880,461,"0.5242",5765,0,1153,9224,5765,0,6918,9,5,4,"0.5556","0.8000","9.01","3.75",-164225,"1.2183",0,"-0.0352",0
"FIN-LOC001-202008","LOC001","Downtown Dental","2020-08-01",2020,8,"2020-08",16936,5645,2258,5081,2258,0,0,0,565,565,565,171964,114866,38289,1355,169,12544,339,677,677,508,339,169,1016,339,169,508,-155028,"-9.1538","9.0432","0.0900",24839,14903,5216,2236,2236,"44.0",90,34,3,28,15242,11946,"0.7054",33,30,3,28,0,28,"0.8400","604.86",5,880,354,"0.4023",4516,1129,2823,1129,3387,0,3952,10,8,7,"0.8000","0.8750","5.29","3.75",-160018,"-0.4124",0,"-0.0053",0
"FIN-LOC001-202009","LOC001","Downtown Dental","2020-09-01",2020,9,"2020-09",25646,6839,855,5129,855,1710,4274,0,855,4274,855,174167,113237,37746,1795,513,12928,256,769,1539,1026,769,256,2052,769,256,256,-148521,"-5.7912","5.8872","0.0900",29065,18020,6394,3488,2325,"34.0",137,49,4,40,23081,19983,"0.7792",31,30,1,25,0,25,"0.7800","1025.84",5,880,455,"0.5176",1710,855,2565,8549,2565,0,9404,9,7,6,"0.7778","0.8571","8.01","2.50",-154184,"0.5143",0,"-0.0420",0
"FIN-LOC001-202010","LOC001","Downtown Dental","2020-10-01",2020,10,"2020-10",14893,3723,2979,2234,1489,0,2234,0,0,2234,0,180498,121543,40514,745,298,12928,298,745,745,596,298,149,894,298,149,298,-165605,"-11.1197","10.8814","0.0700",16879,9283,4220,1350,1182,"34.0",79,27,2,25,13404,11512,"0.7730",24,20,4,20,0,20,"0.8200","744.65",5,880,501,"0.5693",2234,0,0,4468,2234,0,5957,8,5,4,"0.6250","0.8000","4.65","3.00",-168986,"-0.4193",0,"0.1150",0
