Operations_ID,Location_ID,Location_Name,Date,Year,Month,Day_of_Week,Is_Holiday,Is_Weekend,Appointment_Capacity,Scheduled_Appointments,Actual_Appointments,Chair_Utilization,Target_Chair_Utilization,Cancellation_Count,Cancellation_Rate,No_Show_Count,No_Show_Rate,Avg_Wait_Time,Total_Patients_Seen,New_Patient_Count,Returning_Patient_Count,Target_New_Patients,Total_Labor_Hours,Total_Labor_Cost,Staff_Count,Dentist_Count,Hygienist_Count,Assistant_Count,Admin_Count,Equipment_Count,Avg_Equipment_Utilization,Active_Treatment_Plans,Completed_Treatment_Plans,Treatment_Plan_Completion_Rate,Treatment_Plans_Not_Started,Treatment_Plans_In_Progress,Treatment_Plans_Completed,Treatment_Plans_Delayed,Insurance_Claims_Submitted,Insurance_Claims_Processed,Insurance_Claims_Paid,Insurance_Claims_Denied,Insurance_Denial_Rate,Avg_Days_To_Payment,Claims_Aging_0_30,Claims_Aging_31_60,Claims_Aging_61_90,Claims_Aging_90_Plus,Target_Collection_Rate,Actual_Collection_Rate,Revenue_Per_Hour,Revenue_Per_Chair,Revenue_Per_Patient,Labor_Cost_Percentage,Supply_Cost_Percentage,Overhead_Percentage
"OP-LOC001-20200102","LOC001","Downtown Dental","2020-01-02",2020,1,"Thursday",false,false,40,1,1,"0.01","0.85",0,"0.00",0,"0.00",18,1,0,1,1.5,"108.8",6537,14,3,3,5,3,12,"0.00",0,0,"0.63",0,0,0,0,1,1,1,0,"0.00",30,1,0,0,0,"0.92","1.00",1,13,64,"102.14","0.15","0.41"
"OP-LOC002-20200102","LOC002","Westside Smile Center","2020-01-02",2020,1,"Thursday",false,false,28,0,0,"0.85","0.82",0,"0.00",0,"0.00",17,0,0,0,1.25,"68.8",3973,9,2,2,3,2,9,"0.00",0,0,"0.67",0,0,0,0,0,0,0,0,"NaN",29,0,0,0,0,"0.90","0.90",0,0,349,"0.31","0.15","0.38"
"OP-LOC003-20200102","LOC003","East Valley Dental Care","2020-01-02",2020,1,"Thursday",false,false,18,0,0,"0.84","0.80",0,"0.00",0,"0.00",24,0,0,0,1,"69.9",3820,9,2,2,3,2,6,"0.00",0,0,"0.64",0,0,0,0,0,0,0,0,"NaN",28,0,0,0,0,"0.88","0.84",0,0,306,"0.30","0.15","0.39"
"OP-LOC004-20200102","LOC004","North Portland Family Dental","2020-01-02",2020,1,"Thursday",false,false,28,0,0,"0.77","0.83",0,"0.00",0,"0.00",14,0,0,0,1.25,"66.6",3853,9,2,2,3,2,9,"0.00",0,0,"0.67",0,0,0,0,0,0,0,0,"NaN",32,0,0,0,0,"0.91","0.83",0,0,280,"0.29","0.12","0.42"
"OP-LOC001-20200103","LOC001","Downtown Dental","2020-01-03",2020,1,"Friday",false,false,40,2,2,"0.04","0.85",0,"0.00",0,"0.00",9,2,0,2,1.5,"107.3",6474,14,3,3,5,3,12,"0.03",1,1,"0.62",0,1,1,0,2,2,2,0,"0.00",32,1,1,0,0,"0.92","0.21",4,84,211,"15.38","0.16","0.38"
"OP-LOC002-20200103","LOC002","Westside Smile Center","2020-01-03",2020,1,"Friday",false,false,28,2,0,"0.83","0.82",2,"1.00",0,"0.00",11,0,0,0,1.25,"67.3",3970,9,2,2,3,2,9,"0.00",0,0,"0.62",0,0,0,0,0,0,0,0,"NaN",32,0,0,0,0,"0.90","0.89",0,0,327,"0.30","0.14","0.35"
"OP-LOC003-20200103","LOC003","East Valley Dental Care","2020-01-03",2020,1,"Friday",false,false,18,0,0,"0.77","0.80",0,"0.00",0,"0.00",5,0,0,0,1,"71.5",3837,9,2,2,3,2,6,"0.00",0,0,"0.63",0,0,0,0,0,0,0,0,"NaN",28,0,0,0,0,"0.88","0.87",0,0,330,"0.30","0.16","0.35"
"OP-LOC004-20200103","LOC004","North Portland Family Dental","2020-01-03",2020,1,"Friday",false,false,28,0,0,"0.79","0.83",0,"0.00",0,"0.00",23,0,0,0,1.25,"64.9",3888,9,2,2,3,2,9,"0.00",0,0,"0.65",0,0,0,0,0,0,0,0,"NaN",30,0,0,0,0,"0.91","0.96",0,0,275,"0.28","0.14","0.41"
"OP-LOC001-20200104","LOC001","Downtown Dental","2020-01-04",2020,1,"Saturday",false,true,40,2,2,"0.13","0.85",0,"0.00",0,"0.00",15,2,0,2,1.5,"60.2",3538,14,3,3,5,3,12,"0.06",1,1,"0.65",0,1,1,0,2,2,2,0,"0.00",31,1,1,0,0,"0.92","0.22",49,593,1483,"1.19","0.13","0.39"
"OP-LOC002-20200104","LOC002","Westside Smile Center","2020-01-04",2020,1,"Saturday",false,true,28,0,0,"0.85","0.82",0,"0.00",0,"0.00",17,0,0,0,1.25,"40.0",2305,9,2,2,3,2,9,"0.00",0,0,"0.65",0,0,0,0,0,0,0,0,"NaN",28,0,0,0,0,"0.90","0.90",0,0,252,"0.29","0.13","0.36"
